"Match_ID";"Team1Name";"Team2Name";"Date";"Time";"Stadium_Name";"Referee_ID"
1;"Orlando Magic";"San Antonio Spurs";"09-24-2022";"06:45 PM";"Amway Center";1
2;"San Antonio Spurs";"Brooklyn Nets";"01-16-2022";"12:15 PM";"AT&T Center";2
3;"Brooklyn Nets";"Golden State Warriors";"09-20-2022";"01:00 PM";"Barclays Center";3
4;"Golden State Warriors";"Milwaukee Bucks";"10-03-2022";"04:45 PM";"Chase Center";4
5;"Milwaukee Bucks";"Miami Heat";"08-19-2022";"05:00 PM";"Fiserv Forum";5
6;"Miami Heat";"Sacramento Kings";"10-25-2022";"11:45 AM";"FTX Arena";6
7;"Sacramento Kings";"Portland Trail Blazers";"05-23-2022";"12:00 PM";"Golden 1 Center";7
8;"Portland Trail Blazers";"Cleveland Cavaliers";"06-22-2022";"01:30 PM";"Madison Square Guarden";8
9;"Cleveland Cavaliers";"Charlotte Hornets";"05-28-2022";"09:00 AM";"Moda Center";9
10;"Charlotte Hornets";"Minnesota Timberwolves";"10-30-2022";"11:00 AM";"Rocket Mortgage FieldHouse";10
11;"Minnesota Timberwolves";"Chicago Bulls";"06-12-2022";"01:45 PM";"Spectrum Center";11
12;"Chicago Bulls";"Philadelphia 76ers";"03-25-2022";"04:00 PM";"Target Center";12
13;"Philadelphia 76ers";"New York Knicks";"01-12-2022";"06:30 PM";"United Center";13
14;"New York Knicks";"Dallas Mavericks";"05-20-2022";"11:30 AM";"Wells Fargo Center";14
15;"Dallas Mavericks";"Orlando Magic";"01-06-2022";"05:45 PM";"State Farm Arena";15
16;"Orlando Magic";"San Antonio Spurs";"09-24-2021";"06:45 PM";"Amway Center";1
17;"San Antonio Spurs";"Brooklyn Nets";"01-16-2021";"12:15 PM";"AT&T Center";2
18;"Brooklyn Nets";"Golden State Warriors";"09-20-2021";"01:00 PM";"Barclays Center";3
19;"Golden State Warriors";"Milwaukee Bucks";"10-03-2021";"04:45 PM";"Chase Center";4
20;"Milwaukee Bucks";"Miami Heat";"08-19-2021";"05:00 PM";"Fiserv Forum";5
21;"Miami Heat";"Sacramento Kings";"10-25-2021";"11:45 AM";"FTX Arena";6
22;"Sacramento Kings";"Portland Trail Blazers";"05-23-2021";"12:00 PM";"Golden 1 Center";7
23;"Portland Trail Blazers";"Cleveland Cavaliers";"06-22-2021";"01:30 PM";"Madison Square Guarden";8
24;"Cleveland Cavaliers";"Charlotte Hornets";"05-28-2021";"09:00 AM";"Moda Center";9
25;"Charlotte Hornets";"Minnesota Timberwolves";"10-30-2021";"11:00 AM";"Rocket Mortgage FieldHouse";10
26;"Minnesota Timberwolves";"Chicago Bulls";"06-12-2021";"01:45 PM";"Spectrum Center";11
27;"Chicago Bulls";"Philadelphia 76ers";"03-25-2021";"04:00 PM";"Target Center";12
28;"Philadelphia 76ers";"New York Knicks";"01-12-2021";"06:30 PM";"United Center";13
29;"New York Knicks";"Dallas Mavericks";"05-20-2021";"11:30 AM";"Wells Fargo Center";14
30;"Dallas Mavericks";"Orlando Magic";"01-06-2021";"05:45 PM";"State Farm Arena";15
