"Name";"State";"City";"Capacity"
"Amway Center";"Florida";"Orlando";18846
"AT&T Center";"Texas";"San Antonio";18418
"Barclays Center";"New York";"Brooklyn";17732
"Chase Center";"California";"San Francisco";18064
"Fiserv Forum";"Wisconsin";"Milwaukee";17500
"FTX Arena";"Florida";"Miami";19600
"Golden 1 Center";"California";"Sacramento";17583
"Madison Square Guarden";"New York";"New York City";19812
"Moda Center";"Oregon";"Portland";19441
"Rocket Mortgage FieldHouse";"Ohio";"Cleveland";19432
"Spectrum Center";"North Carolina";"Charlotte";19077
"State Farm Arena";"Georgia";"Atlanta";18118
"Target Center";"Minnesota";"Minneapolis";18978
"United Center";"Illinois";"Chicago";20917
"Wells Fargo Center";"Pennsylvania";"Philadelphia";20478
