"Name";"Region";"ImgLinkHTML";"DetailsLinkRefHTML"
"Brooklyn Nets";"Atlantic";"<img src = ""https://i.imgur.com/weTPzUg.png"">";"<a href = ""TeamPlayers/BrooklynNets.jsp"" style=""color:blue"">Details</a>"
"Charlotte Hornets";"Southeast";"<img src = ""https://i.imgur.com/BreCWkR.png"">";"<a href = ""TeamPlayers/CharlotteHornets.jsp"" style=""color:blue"">Details</a>"
"Chicago Bulls";"Central";"<img src = ""https://i.imgur.com/MhiSkvu.png"">";"<a href = ""TeamPlayers/ChicagoBulls.jsp"" style=""color:blue"">Details</a>"
"Cleveland Cavaliers";"Central";"<img src = ""https://i.imgur.com/Fzxm85n.png"">";"<a href = ""TeamPlayers/ClevelandCavaliers.jsp"" style=""color:blue"">Details</a>"
"Dallas Mavericks";"Southwest";"<img src = ""https://i.imgur.com/pkTu0gl.png"">";"<a href = ""TeamPlayers/DallasMavericks.jsp"" style=""color:blue"">Details</a>"
"Golden State Warriors";"Pacific";"<img src = ""https://i.imgur.com/UW940hJ.png"">";"<a href = ""TeamPlayers/GoldenStateWarriors.jsp"" style=""color:blue"">Details</a>"
"Miami Heat";"Southeast";"<img src = ""https://i.imgur.com/V5eV3Nq.png"">";"<a href = ""TeamPlayers/MiamiHeat.jsp"" style=""color:blue"">Details</a>"
"Milwaukee Bucks";"Central";"<img src = ""https://i.imgur.com/xMoTbM6.png"">";"<a href = ""TeamPlayers/MilwaukeeBucks.jsp"" style=""color:blue"">Details</a>"
"Minnesota Timberwolves";"Northwest";"<img src = ""https://i.imgur.com/hhuAFF3.png"">";"<a href = ""TeamPlayers/MinnesotaTimberwolves.jsp"" style=""color:blue"">Details</a>"
"New York Knicks";"Atlantic";"<img src = ""https://i.imgur.com/TZj29Nu.png"">";"<a href = ""TeamPlayers/NewYorkKnicks.jsp"" style=""color:blue"">Details</a>"
"Orlando Magic";"Southeast";"<img src = ""https://i.imgur.com/G6caWhS.png"">";"<a href = ""TeamPlayers/OrlandoMagic.jsp"" style=""color:blue"">Details</a>"
"Philadelphia 76ers";"Atlantic";"<img src = ""https://i.imgur.com/cPI7jof.png"">";"<a href = ""TeamPlayers/Philadelphia76ers.jsp"" style=""color:blue"">Details</a>"
"Portland Trail Blazers";"Northwest";"<img src = ""https://i.imgur.com/BqrD9Jy.png"">";"<a href = ""TeamPlayers/PortlandTrailBlazers.jsp"" style=""color:blue"">Details</a>"
"Sacramento Kings";"Pacific";"<img src = ""https://i.imgur.com/IGirVrC.png"">";"<a href = ""TeamPlayers/SacramentoKings.jsp"" style=""color:blue"">Details</a>"
"San Antonio Spurs";"Southwest";"<img src = ""https://i.imgur.com/LfBwFLZ.png"">";"<a href = ""TeamPlayers/SanAntonioSpurs.jsp"" style=""color:blue"">Details</a>"
